"SOURCE","TARGET","WEIGHT"
0000000,00000,8
0000000,00001,77
0000000,00011,3
0000000,00101,7
0000000,00111,1
0000000,01001,1
0000000,10001,51
0000000,10011,5
0000000,10100,1
0000000,10101,11
0000000,10111,5
0000000,11001,3
0000000,11101,5
0000001,00001,3
0000001,00111,1
0000001,10001,1
0000001,10101,1
0111000,00001,24
0111000,00101,1
0111000,01101,1
0111000,10001,13
0111000,10101,3
0111000,10111,3
0111000,11001,2
0111000,11111,1
0111001,00001,3
0111110,10001,3
0111111,10001,1
1000000,00000,2
1000000,00001,27
1000000,00101,5
1000000,10000,1
1000000,10001,22
1000000,10101,12
1000000,10111,1
1000000,11001,2
1000000,11101,2
1000000,11111,3
1000001,00000,1
1000001,00001,16
1000001,00011,1
1000001,00101,1
1000001,10001,10
1000001,10101,5
1000001,10111,2
1000001,11001,2
1000001,11101,2
1000001,11111,1
1001001,10111,1
1111000,00000,1
1111000,00001,110
1111000,00101,5
1111000,00111,1
1111000,01101,2
1111000,10001,92
1111000,10011,2
1111000,10101,22
1111000,10111,5
1111000,11001,7
1111000,11011,1
1111000,11101,10
1111000,11111,5
1111001,00000,1
1111001,00001,26
1111001,00101,2
1111001,01101,1
1111001,10001,15
1111001,10101,4
1111001,10111,2
1111001,11001,1
1111001,11101,5
1111110,00001,71
1111110,00101,2
1111110,01001,2
1111110,10001,56
1111110,10101,5
1111110,10111,2
1111110,11001,4
1111110,11101,5
1111110,11111,1
1111111,00001,30
1111111,00101,1
1111111,01101,1
1111111,10001,28
1111111,10011,2
1111111,10101,7
1111111,10111,2
1111111,11001,2
1111111,11101,4
