source,target,weight,label
00010001100000000000,00001,1,123
00010110000000000000,10001,1,405
00010110010000000001,10001,1,124
00010110100000000000,11001,1,400
00010111100000000000,00001,1,135
00011000000000000000,00001,1,331
00011100000000000000,10001,1,9
00011101010100000001,10001,1,9
00011111100000000000,11101,1,2
00111000000000000000,00001,1,6
00111100000000000000,00001,2,218
00111100000000000000,00011,1,4
00111101000000000000,00001,1,6
00111101000000000000,00101,1,127
00111101000000000000,10001,1,5
00111101010100000000,10101,1,161
00111110000000000000,00001,2,8
00111110010010101001,10101,1,126
00111110100000000000,00001,2,167
00111110110000100000,10001,1,129
00111111010000000001,10001,2,5
00111111100000000000,00001,1,140
00111111100000000000,10001,2,121
01010000100000000000,00001,1,6
01010000100000000000,10111,1,4
01010110000000000000,00001,1,173
01010110100000000000,00001,1,6
01011000100000000000,10001,1,225
01011110000000000000,00001,1,8
01011110000000000000,10001,1,9
01011111000000000000,10001,1,130
01011111100000000000,00001,1,9
01011111100000000000,10001,1,6
01110100100000000000,00001,1,7
01110101110010000000,10001,1,219
01110110000000000000,00001,1,171
01111000000000000000,00001,3,8
01111000000000000000,10101,1,8
01111110000000000000,10001,2,227
01111110100000000000,00001,1,153
01111110100000000000,10101,1,153
01111111000000000000,00001,1,6
01111111100000000000,00001,1,4
01111111100000000000,10001,1,126
